matchId,date,Dust2,Vertigo,Overpass,Inferno,Nuke,Ancient,Mirage,Anubis,name,teamWin,roundsWins
2360255,2022-11-25,other,removed,removed,picked,other,left,other,not_included,KTRL,false,30
2360271,2022-11-25,removed,picked,other,other,other,removed,left,not_included,FURIA Academy,true,32
2360271,2022-11-25,other,other,removed,picked,removed,other,left,not_included,Liberty,false,15
2360238,2022-11-25,other,other,left,other,removed,removed,removed,not_included,Nigma Galaxy,true,16
2360238,2022-11-25,removed,removed,left,removed,other,other,other,not_included,CLG Red,false,3
2360235,2022-11-25,picked,other,removed,other,removed,left,other,not_included,ex-Finest,true,32
2360235,2022-11-25,other,picked,other,removed,other,left,removed,not_included,ECSTATIC,false,16
2360253,2022-11-25,other,picked,removed,other,other,removed,left,not_included,Young Ninjas,true,47
2360253,2022-11-25,removed,other,other,picked,removed,other,left,not_included,EYEBALLERS,false,40
2360220,2022-11-25,other,removed,removed,left,other,other,removed,not_included,B4 fe,true,16
2360220,2022-11-25,removed,other,other,left,removed,removed,other,not_included,ATK fe,false,8
2360219,2022-11-25,removed,removed,left,removed,other,other,other,not_included,FURIA fe,true,16
2360219,2022-11-25,other,other,left,other,removed,removed,removed,not_included,NOFEAR5,false,3
2360234,2022-11-25,other,other,removed,removed,left,picked,other,not_included,Endpoint,true,45
2360234,2022-11-25,removed,removed,other,other,left,other,picked,not_included,eSuba,false,32
2360218,2022-11-25,removed,other,left,removed,other,removed,other,not_included,CLG Red,true,16
2360218,2022-11-25,other,removed,left,other,removed,other,removed,not_included,EG Gold,false,6
2360217,2022-11-25,removed,removed,other,left,removed,other,other,not_included,Nigma Galaxy,true,16
2360217,2022-11-25,other,other,removed,left,other,removed,removed,not_included,HSG fe,false,10
2360270,2022-11-24,other,left,removed,removed,other,picked,other,not_included,SWS,true,32
2360270,2022-11-24,removed,left,other,other,removed,other,picked,not_included,B4 Academy,false,21
2360269,2022-11-24,removed,other,removed,picked,other,left,other,not_included,Boca Juniors,true,43
2360269,2022-11-24,other,removed,other,other,picked,left,removed,not_included,WINDINGO,false,33
2360033,2022-11-24,removed,removed,picked,left,other,other,other,not_included,Case,true,46
2360033,2022-11-24,other,other,other,left,picked,removed,removed,not_included,FTW,false,37
2360123,2022-11-24,picked,removed,other,removed,other,left,other,not_included,UNGENTIUM,true,42
2360123,2022-11-24,other,other,removed,other,picked,left,removed,not_included,PACT,false,34
2360233,2022-11-24,picked,removed,left,other,removed,other,other,not_included,forZe,true,40
2360233,2022-11-24,other,other,left,removed,other,picked,removed,not_included,Anonymo,false,39
2360266,2022-11-24,removed,other,other,removed,picked,left,other,not_included,SINNERS,true,45
2360266,2022-11-24,other,removed,removed,other,other,left,picked,not_included,Enterprise,false,45
2360054,2022-11-24,other,other,removed,picked,removed,other,left,not_included,Liquid,true,44
2360054,2022-11-24,picked,removed,other,other,other,removed,left,not_included,Natus Vincere,false,37
2360286,2022-11-24,,,,,,,,,9 Pandas,true,0
2360286,2022-11-24,,,,,,,,,Spirit Academy,false,0
2360250,2022-11-24,removed,other,other,removed,picked,left,other,not_included,Tricked,true,46
2360250,2022-11-24,other,removed,removed,other,other,left,picked,not_included,EC Brugge,false,35
2360259,2022-11-24,other,left,removed,other,other,removed,picked,not_included,Spirit Academy,true,32
2360259,2022-11-24,removed,left,other,picked,removed,other,other,not_included,1PIN,false,21
2360268,2022-11-24,other,removed,picked,left,removed,other,other,not_included,Hype,true,0
2360268,2022-11-24,removed,other,other,left,other,removed,picked,not_included,Los Grandes Academy,false,0
2360267,2022-11-24,other,other,picked,removed,left,removed,other,not_included,MIBR Academy,true,46
2360267,2022-11-24,removed,picked,other,other,left,other,removed,not_included,Corinthians Academy,false,33
2360232,2022-11-24,picked,removed,other,left,other,other,removed,not_included,HAVU,true,32
2360232,2022-11-24,other,other,picked,left,removed,removed,other,not_included,AGO,false,23
2360053,2022-11-24,other,other,removed,other,left,removed,picked,not_included,G2,true,32
2360053,2022-11-24,picked,removed,other,removed,left,other,other,not_included,Fluxo,false,18
2360122,2022-11-24,other,removed,picked,left,other,removed,other,not_included,Illuminar,true,32
2360122,2022-11-24,removed,other,other,left,picked,other,removed,not_included,ThunderFlash,false,16
2360247,2022-11-24,other,removed,other,removed,other,left,picked,not_included,Monte,true,32
2360247,2022-11-24,removed,other,picked,other,removed,left,other,not_included,AVANGAR,false,19
2360052,2022-11-24,other,removed,removed,picked,left,other,other,not_included,FaZe,true,32
2360052,2022-11-24,removed,other,other,other,left,picked,removed,not_included,Heroic,false,19
2360231,2022-11-24,removed,left,other,other,removed,other,picked,not_included,ECLOT,true,32
2360231,2022-11-24,other,left,picked,removed,other,removed,other,not_included,Falcons,false,15
2360051,2022-11-24,removed,picked,removed,other,other,other,left,not_included,Ninjas in Pyjamas,true,38
2360051,2022-11-24,other,other,other,removed,removed,picked,left,not_included,OG,false,29
2360230,2022-11-24,other,other,left,picked,other,removed,removed,not_included,MASONIC,true,32
2360230,2022-11-24,removed,removed,left,other,picked,other,other,not_included,Tricked,false,19
2360215,2022-11-24,picked,other,other,left,removed,removed,other,not_included,God's Work,true,32
2360215,2022-11-24,other,picked,removed,left,other,other,removed,not_included,Frontier,false,18
2360210,2022-11-24,removed,picked,left,removed,other,other,other,not_included,Iron Blood,true,41
