,team1,team2,result1,result2,date_of_match,reference
898,Meta BR,Mad Kings,19,16,2022-09-20,/matches/2359037/meta-br-vs-mad-kings-americas-supercup-2022
899,ThunderFlash,OneTap,1,2,2022-09-20,/matches/2359020/thunderflash-vs-onetap-esea-advanced-season-42-europe
900,HONORIS,EC Brugge,1,2,2022-09-20,/matches/2359030/honoris-vs-ec-brugge-esea-advanced-season-42-europe
901,SINNERS,los kogutos,2,0,2022-09-20,/matches/2358990/sinners-vs-los-kogutos-cct-central-europe-series-2
902,ECLOT,X,2,1,2022-09-20,/matches/2359026/eclot-vs-x-esea-advanced-season-42-europe
903,ECSTATIC,Sashi,2,1,2022-09-20,/matches/2358980/ecstatic-vs-sashi-elisa-invitational-fall-2022
904,Into the Breach,Illuminar,2,0,2022-09-20,/matches/2358991/into-the-breach-vs-illuminar-cct-central-europe-series-2
905,SINNERS,EC Kyiv,1,2,2022-09-20,/matches/2358979/sinners-vs-ec-kyiv-elisa-invitational-fall-2022
906,BLUEJAYS,HONORIS,2,1,2022-09-20,/matches/2358989/bluejays-vs-honoris-cct-central-europe-series-2
907,yellow,Arena,0,1,2022-09-20,/matches/2359009/yellow-vs-arena-esl-australia-nz-championship-season-15
908,Grayhound,Encore,2,0,2022-09-20,/matches/2359008/grayhound-vs-encore-esl-australia-nz-championship-season-15
909,BHOP,Strife,0,2,2022-09-20,/matches/2358805/bhop-vs-strife-esl-challenger-league-season-42-north-america
910,REIGN,All Gas No Brakes,2,1,2022-09-20,/matches/2358998/reign-vs-all-gas-no-brakes-cct-north-america-series-1
911,Nouns,Victorum,2,0,2022-09-20,/matches/2358804/nouns-vs-victorum-esl-challenger-league-season-42-north-america
912,Limitless,Infinity,0,2,2022-09-20,/matches/2358996/limitless-vs-infinity-cct-north-america-series-1
913,MIBR,Davenport University,2,0,2022-09-20,/matches/2359001/mibr-vs-davenport-university-esl-challenger-league-season-42-north-america
914,9z Academy,Mad Kings,13,16,2022-09-20,/matches/2358976/9z-academy-vs-mad-kings-americas-supercup-2022
915,Take Flyte,Electrify Steel,1,2,2022-09-20,/matches/2358997/take-flyte-vs-electrify-steel-cct-north-america-series-1
916,Vendetta,Nouns,2,0,2022-09-20,/matches/2358195/vendetta-vs-nouns-esl-challenger-league-season-42-north-america
917,Davenport University,X13,1,2,2022-09-20,/matches/2358995/davenport-university-vs-x13-cct-north-america-series-1
918,MIBR,EG Black,2,0,2022-09-20,/matches/2358940/mibr-vs-eg-black-esl-challenger-league-season-42-north-america
919,The Union,MOB,16,10,2022-09-20,/matches/2358975/the-union-vs-mob-americas-supercup-2022
920,Valence,Foggy,0,1,2022-09-18,/matches/2358949/valence-vs-foggy-cct-north-america-series-1
921,Heroic,Astralis,2,1,2022-09-18,/matches/2357735/heroic-vs-astralis-esl-pro-league-season-16
922,MOUZ,HEET,2,1,2022-09-18,/matches/2357737/mouz-vs-heet-esl-pro-league-season-16
923,Entropiq,Eternal Fire,0,2,2022-09-18,/matches/2358924/entropiq-vs-eternal-fire-esl-challenger-rotterdam-2022-europe-closed-qualifier
924,Furious,Liberty,2,1,2022-09-18,/matches/2358964/furious-vs-liberty-cct-south-america-series-2
925,HAVU,JANO,2,1,2022-09-18,/matches/2358972/havu-vs-jano-pelaajat-series-fall-2022
926,ECLOT,Bad News Eagles,0,2,2022-09-18,/matches/2358959/eclot-vs-bad-news-eagles-tipsport-prague-cup-2022-finals
927,ENCE,Complexity,0,2,2022-09-18,/matches/2357736/ence-vs-complexity-esl-pro-league-season-16
928,BIG Academy,los kogutos,0,2,2022-09-18,/matches/2358904/big-academy-vs-los-kogutos-cct-central-europe-series-2
929,Maikelele's Team,Edward's Team,2,1,2022-09-18,/matches/2358829/maikeleles-team-vs-edwards-team-kinguin-legends-2022
930,Enterprise,SINNERS,2,1,2022-09-18,/matches/2358960/enterprise-vs-sinners-tipsport-prague-cup-2022-finals
931,MostValuablePlayers,ORGLESS fe,2,0,2022-09-18,/matches/2358969/mostvaluableplayers-vs-orgless-fe-esl-impact-summer-2022-cash-cup-5-europe
932,Into the Breach,MOUZ NXT,2,0,2022-09-18,/matches/2358903/into-the-breach-vs-mouz-nxt-cct-central-europe-series-2
933,Eternal Fire,Iron Branch,2,0,2022-09-18,/matches/2358923/eternal-fire-vs-iron-branch-esl-challenger-rotterdam-2022-europe-closed-qualifier
934,JANO,Conquer,2,0,2022-09-18,/matches/2358962/jano-vs-conquer-pelaajat-series-fall-2022
935,Grayhound,VERTEX,1,2,2022-09-18,/matches/2358927/grayhound-vs-vertex-fortress-oce-masters-fall-2022-finals-blast-premier-qualifier
936,HAVU,KOVA,2,0,2022-09-18,/matches/2358961/havu-vs-kova-pelaajat-series-fall-2022
937,K23,eSuba,0,2,2022-09-18,/matches/2358901/k23-vs-esuba-cct-central-europe-series-2
938,Nouns,BHOP,2,1,2022-09-18,/matches/2358951/nouns-vs-bhop-esl-challenger-rotterdam-2022-north-america-closed-qualifier
939,TeamOne,ATK,0,2,2022-09-18,/matches/2358950/teamone-vs-atk-esl-challenger-rotterdam-2022-north-america-closed-qualifier
940,Infinity,Sojoga,0,2,2022-09-18,/matches/2358944/infinity-vs-sojoga-cct-north-america-series-1
941,ATK,BHOP,2,1,2022-09-18,/matches/2358932/atk-vs-bhop-esl-challenger-rotterdam-2022-north-america-closed-qualifier
942,Los Grandes Academy,Paquetá,0,2,2022-09-18,/matches/2358914/los-grandes-academy-vs-paquet-cct-south-america-series-2
943,Limitless,Victorum,0,2,2022-09-18,/matches/2358943/limitless-vs-victorum-cct-north-america-series-1
944,Take Flyte,DNA,2,0,2022-09-18,/matches/2358945/take-flyte-vs-dna-cct-north-america-series-1
945,ODDIK,Fluxo,0,2,2022-09-18,/matches/2358942/oddik-vs-fluxo-fireleague-latin-power-fall-2022-blast-premier-qualifier
946,TeamOne,Nouns,2,0,2022-09-18,/matches/2358933/teamone-vs-nouns-esl-challenger-rotterdam-2022-north-america-closed-qualifier
947,Iron Branch,Entropiq,1,2,2022-09-18,/matches/2358921/iron-branch-vs-entropiq-esl-challenger-rotterdam-2022-europe-closed-qualifier
948,TeamOne,EG Black,2,1,2022-09-11,/matches/2358765/teamone-vs-eg-black-fragadelphia-17
949,Iron Branch,NASR,2,1,2022-09-11,/matches/2358780/iron-branch-vs-nasr-esl-challenger-rotterdam-2022-europe-open-qualifier-2
950,HONORIS,fnatic Rising,1,2,2022-09-11,/matches/2358779/honoris-vs-fnatic-rising-esl-challenger-rotterdam-2022-europe-open-qualifier-2
951,Nexus,allStars,2,0,2022-09-11,/matches/2358775/nexus-vs-allstars-ropl-stars-fall-2022
952,MIBR,FTW,2,0,2022-09-11,/matches/2357720/mibr-vs-ftw-esl-pro-league-season-16
953,FaZe,BIG,2,0,2022-09-11,/matches/2357722/faze-vs-big-esl-pro-league-season-16
954,G2,Outsiders,2,0,2022-09-11,/matches/2357721/g2-vs-outsiders-esl-pro-league-season-16
955,Redragon,ex-Holkattes,0,2,2022-09-11,/matches/2358699/redragon-vs-ex-holkattes-cct-south-america-series-2
956,SC,Infinite,2,0,2022-09-11,/matches/2358716/sc-vs-infinite-cct-central-europe-series-2-closed-qualifier
957,Iron Blood,EG White,0,2,2022-09-11,/matches/2358766/iron-blood-vs-eg-white-fragadelphia-17
958,SKADE,BLINK,2,0,2022-09-11,/matches/2358773/skade-vs-blink-clash-of-leagues-2022
959,OneTap,allStars,1,2,2022-09-11,/matches/2358774/onetap-vs-allstars-ropl-stars-fall-2022
960,ECSTATIC,NASR,12,16,2022-09-11,/matches/2358753/ecstatic-vs-nasr-esl-challenger-rotterdam-2022-europe-open-qualifier-2
961,Iron Branch,Young Ninjas,16,9,2022-09-11,/matches/2358752/iron-branch-vs-young-ninjas-esl-challenger-rotterdam-2022-europe-open-qualifier-2
962,fnatic Rising,AVANGAR,16,7,2022-09-11,/matches/2358755/fnatic-rising-vs-avangar-esl-challenger-rotterdam-2022-europe-open-qualifier-2
963,Apeks,ATK,2,0,2022-09-11,/matches/2358763/apeks-vs-atk-fragadelphia-17
964,HONORIS,Entropiq Prague,0,1,2022-09-11,/matches/2358771/honoris-vs-entropiq-prague-cct-central-europe-series-2-closed-qualifier
965,BLUEJAYS,HONORIS,1,16,2022-09-11,/matches/2358756/bluejays-vs-honoris-esl-challenger-rotterdam-2022-europe-open-qualifier-2
966,The Union,FUSION,0,2,2022-09-11,/matches/2358698/the-union-vs-fusion-cct-south-america-series-2
967,BIG Academy,Electrify Steel,2,0,2022-09-11,/matches/2358764/big-academy-vs-electrify-steel-fragadelphia-17
968,Anonymo,Entropiq Prague,0,2,2022-09-11,/matches/2358714/anonymo-vs-entropiq-prague-cct-central-europe-series-2-closed-qualifier
969,Austria,BLINK,0,2,2022-09-11,/matches/2358727/austria-vs-blink-clash-of-leagues-2022
970,Young Ninjas,Nigma Galaxy,2,0,2022-09-11,/matches/2358715/young-ninjas-vs-nigma-galaxy-cct-central-europe-series-2-closed-qualifier
971,Nexus,OneTap,2,1,2022-09-11,/matches/2358721/nexus-vs-onetap-ropl-stars-fall-2022
972,UNGENTIUM,HONORIS,0,2,2022-09-11,/matches/2358713/ungentium-vs-honoris-cct-central-europe-series-2-closed-qualifier
973,BLINK,SKADE,0,2,2022-09-11,/matches/2358711/blink-vs-skade-clash-of-leagues-2022
974,Antic,Encore,12,16,2022-09-11,/matches/2358673/antic-vs-encore-fortress-oce-masters-fall-2022-blast-premier-qualifier
975,Encore,VERTEX,10,16,2022-09-11,/matches/2358672/encore-vs-vertex-fortress-oce-masters-fall-2022-blast-premier-qualifier
976,Antic,CAMO,16,10,2022-09-11,/matches/2358671/antic-vs-camo-fortress-oce-masters-fall-2022-blast-premier-qualifier
977,VERTEX,CAMO,16,12,2022-09-11,/matches/2358670/vertex-vs-camo-fortress-oce-masters-fall-2022-blast-premier-qualifier
978,Encore,Antic,16,14,2022-09-11,/matches/2358669/encore-vs-antic-fortress-oce-masters-fall-2022-blast-premier-qualifier
979,ODDIK,FURIA Academy,18,22,2022-09-11,/matches/2358760/oddik-vs-furia-academy-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
980,B4 Academy,ex-Young Gods,0,2,2022-09-11,/matches/2358697/b4-academy-vs-ex-young-gods-cct-south-america-series-2
981,Davenport University,EG Black,1,2,2022-09-11,/matches/2358744/davenport-university-vs-eg-black-fragadelphia-17
982,Paquetá,Rehl,16,8,2022-09-11,/matches/2358758/paquet-vs-rehl-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
983,O PLANO,Corinthians,16,6,2022-09-11,/matches/2358759/o-plano-vs-corinthians-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
984,Iron Blood,Victorum,2,1,2022-09-11,/matches/2358743/iron-blood-vs-victorum-fragadelphia-17
985,The Union,FUSION,16,7,2022-09-11,/matches/2358757/the-union-vs-fusion-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
986,loloNaMente,ODDIK,8,16,2022-09-11,/matches/2358754/lolonamente-vs-oddik-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
987,Corinthians,Selecao do bt0,16,13,2022-09-11,/matches/2358750/corinthians-vs-selecao-do-bt0-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
988,Rehl,Boca Juniors,16,5,2022-09-11,/matches/2358751/rehl-vs-boca-juniors-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
989,Detonate,Electrify Steel,1,2,2022-09-11,/matches/2358739/detonate-vs-electrify-steel-fragadelphia-17
990,Isurus,FUSION,6,16,2022-09-11,/matches/2358749/isurus-vs-fusion-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
991,Apeks,Squirtle Squad,2,0,2022-09-11,/matches/2358734/apeks-vs-squirtle-squad-fragadelphia-17
992,Furious,Los Grandes Academy,2,1,2022-09-11,/matches/2358696/furious-vs-los-grandes-academy-cct-south-america-series-2
993,The Union,paiN Academy,16,11,2022-09-11,/matches/2358747/the-union-vs-pain-academy-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
994,Paquetá,ozbonz,16,5,2022-09-11,/matches/2358748/paquet-vs-ozbonz-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
995,O PLANO,MIBR Academy,16,12,2022-09-11,/matches/2358745/o-plano-vs-mibr-academy-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
996,FURIA Academy,Sharks,16,4,2022-09-11,/matches/2358746/furia-academy-vs-sharks-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
997,HAVU,Iron Branch,19,22,2022-09-11,/matches/2358738/havu-vs-iron-branch-esl-challenger-rotterdam-2022-europe-open-qualifier-2
998,ThunderFlash,Young Ninjas,16,19,2022-09-11,/matches/2358740/thunderflash-vs-young-ninjas-esl-challenger-rotterdam-2022-europe-open-qualifier-2
999,Budapest Five,AVANGAR,9,16,2022-09-11,/matches/2358742/budapest-five-vs-avangar-esl-challenger-rotterdam-2022-europe-open-qualifier-2
1000,Illuminar,HONORIS,11,16,2022-09-11,/matches/2358741/illuminar-vs-honoris-esl-challenger-rotterdam-2022-europe-open-qualifier-2
1001,ECSTATIC,B8,19,17,2022-09-11,/matches/2358733/ecstatic-vs-b8-esl-challenger-rotterdam-2022-europe-open-qualifier-2
1002,fnatic Rising,SKADE,16,11,2022-09-11,/matches/2358735/fnatic-rising-vs-skade-esl-challenger-rotterdam-2022-europe-open-qualifier-2
1003,Beyond Possible,BLUEJAYS,5,16,2022-09-11,/matches/2358737/beyond-possible-vs-bluejays-esl-challenger-rotterdam-2022-europe-open-qualifier-2
1004,PACT,NASR,11,16,2022-09-11,/matches/2358736/pact-vs-nasr-esl-challenger-rotterdam-2022-europe-open-qualifier-2
1005,BLVKHVND,Davenport University,1,2,2022-09-11,/matches/2358729/blvkhvnd-vs-davenport-university-fragadelphia-17
1006,Argon,Victorum,1,2,2022-09-11,/matches/2358726/argon-vs-victorum-fragadelphia-17
1007,B4 Academy,Yawara,2,0,2022-09-12,/matches/2358788/b4-academy-vs-yawara-cct-south-america-series-2
1008,HONORIS,Anonymo,2,0,2022-09-12,/matches/2358784/honoris-vs-anonymo-cct-central-europe-series-2-closed-qualifier
1009,GoodJob,Websterz,2,0,2022-09-12,/matches/2358810/goodjob-vs-websterz-pari-patriki-vibe-lan-2022
1010,SC,Infinite,2,0,2022-09-12,/matches/2358783/sc-vs-infinite-cct-central-europe-series-2-closed-qualifier
1011,Redragon,Los Grandes Academy,0,2,2022-09-12,/matches/2358787/redragon-vs-los-grandes-academy-cct-south-america-series-2
1012,UNGENTIUM,Anonymo,1,2,2022-09-12,/matches/2358772/ungentium-vs-anonymo-cct-central-europe-series-2-closed-qualifier
1013,BEBRA,Websterz,2,1,2022-09-12,/matches/2358768/bebra-vs-websterz-pari-patriki-vibe-lan-2022
1014,Nigma Galaxy,Infinite,0,2,2022-09-12,/matches/2358777/nigma-galaxy-vs-infinite-cct-central-europe-series-2-closed-qualifier
1015,The Union,Arvum,2,0,2022-09-12,/matches/2358786/the-union-vs-arvum-cct-south-america-series-2
1016,Bad News Eagles,ECLOT,2,1,2022-09-12,/matches/2358687/bad-news-eagles-vs-eclot-elisa-invitational-fall-2022
1017,Young Ninjas,SC,2,1,2022-09-12,/matches/2358776/young-ninjas-vs-sc-cct-central-europe-series-2-closed-qualifier
1018,TAG,GoodJob,2,1,2022-09-12,/matches/2358767/tag-vs-goodjob-pari-patriki-vibe-lan-2022
1019,DGG,Arena,2,0,2022-09-12,/matches/2358476/dgg-vs-arena-esl-australia-nz-championship-season-15
1020,Sprout,Hotspurs,2,0,2022-09-12,/matches/2358686/sprout-vs-hotspurs-elisa-invitational-fall-2022
1021,Rooster,Warriors,2,0,2022-09-12,/matches/2358475/rooster-vs-warriors-esl-australia-nz-championship-season-15
1022,EG White,BIG Academy,2,1,2022-09-12,/matches/2358782/eg-white-vs-big-academy-fragadelphia-17
1023,WINDINGO,MIBR Academy,2,0,2022-09-12,/matches/2358701/windingo-vs-mibr-academy-cct-south-america-series-2
1024,The Union,Paquetá,1,2,2022-09-12,/matches/2358785/the-union-vs-paquet-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
1025,BIG Academy,Apeks,2,1,2022-09-12,/matches/2358778/big-academy-vs-apeks-fragadelphia-17
1026,EG White,TeamOne,2,0,2022-09-12,/matches/2358781/eg-white-vs-teamone-fragadelphia-17
1027,SWS,Liberty,1,2,2022-09-12,/matches/2358700/sws-vs-liberty-cct-south-america-series-2
1028,Paquetá,O PLANO,16,19,2022-09-12,/matches/2358762/paquet-vs-o-plano-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
1029,The Union,FURIA Academy,14,16,2022-09-12,/matches/2358761/the-union-vs-furia-academy-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
1030,OG,Heroic,1,2,2022-10-09,/matches/2359367/og-vs-heroic-iem-road-to-rio-2022-europe-rmr-b
1031,Outsiders,Falcons,2,0,2022-10-09,/matches/2358452/outsiders-vs-falcons-iem-road-to-rio-2022-europe-rmr-b
1032,Anonymo,Entropiq Prague,1,2,2022-10-09,/matches/2359425/anonymo-vs-entropiq-prague-cct-central-europe-series-3-closed-qualifier
1033,AVEZ,ONYX,0,2,2022-10-09,/matches/2359432/avez-vs-onyx-cct-central-europe-series-3-closed-qualifier
1034,PALOMA,Sangal,1,0,2022-10-09,/matches/2359395/paloma-vs-sangal-esea-advanced-season-42-europe
1035,Evil Geniuses,Liquid,0,2,2022-10-09,/matches/2358383/evil-geniuses-vs-liquid-iem-road-to-rio-2022-americas-rmr
1036,MOUZ,Sangal,2,1,2022-10-09,/matches/2358451/mouz-vs-sangal-iem-road-to-rio-2022-europe-rmr-b
1037,Beyond Possible,ONYX,1,2,2022-10-09,/matches/2359423/beyond-possible-vs-onyx-cct-central-europe-series-3-closed-qualifier
1038,Spirit,Cloud9,2,1,2022-10-09,/matches/2359365/spirit-vs-cloud9-iem-road-to-rio-2022-europe-rmr-a
1039,AVANGAR,Cryptova,0,2,2022-10-09,/matches/2359424/avangar-vs-cryptova-cct-central-europe-series-3-closed-qualifier
1040,ECLOT,fnatic Rising,1,2,2022-10-09,/matches/2359431/eclot-vs-fnatic-rising-esea-advanced-season-42-europe
1041,Imperial,paiN,2,0,2022-10-09,/matches/2358382/imperial-vs-pain-iem-road-to-rio-2022-americas-rmr
1042,BIG,K23,2,1,2022-10-09,/matches/2358450/big-vs-k23-iem-road-to-rio-2022-europe-rmr-b
1043,los kogutos,AVEZ,0,2,2022-10-09,/matches/2359422/los-kogutos-vs-avez-cct-central-europe-series-3-closed-qualifier
1044,Vitality,Heroic,1,2,2022-10-09,/matches/2359366/vitality-vs-heroic-iem-road-to-rio-2022-europe-rmr-b
1045,JiJieHao International,Grayhound,0,2,2022-10-09,/matches/2358256/jijiehao-international-vs-grayhound-iem-road-to-rio-2022-asia-rmr
1046,Isurus,00NATION,10,16,2022-10-05,/matches/2358363/isurus-vs-00nation-iem-road-to-rio-2022-americas-rmr
1047,O PLANO,TeamOne,16,10,2022-10-05,/matches/2358364/o-plano-vs-teamone-iem-road-to-rio-2022-americas-rmr
1048,ARCTIC,ATK,11,16,2022-10-05,/matches/2358361/arctic-vs-atk-iem-road-to-rio-2022-americas-rmr
1049,Natus Vincere,MOUZ,16,11,2022-10-05,/matches/2358417/natus-vincere-vs-mouz-iem-road-to-rio-2022-europe-rmr-b
1050,Nouns,Infinity,16,2,2022-10-05,/matches/2358362/nouns-vs-infinity-iem-road-to-rio-2022-americas-rmr
1051,PALOMA,Sangal,2,0,2022-10-05,/matches/2359319/paloma-vs-sangal-esea-advanced-season-42-europe
1052,Heroic,Outsiders,12,16,2022-10-05,/matches/2358418/heroic-vs-outsiders-iem-road-to-rio-2022-europe-rmr-b
1053,Liquid,MIBR,19,16,2022-10-05,/matches/2358359/liquid-vs-mibr-iem-road-to-rio-2022-americas-rmr
1054,Complexity,paiN,16,7,2022-10-05,/matches/2358360/complexity-vs-pain-iem-road-to-rio-2022-americas-rmr
1055,BIG,Vitality,16,10,2022-10-05,/matches/2358415/big-vs-vitality-iem-road-to-rio-2022-europe-rmr-b
1056,9z,Imperial,22,20,2022-10-05,/matches/2358358/9z-vs-imperial-iem-road-to-rio-2022-americas-rmr
1057,Falcons,ENCE,6,16,2022-10-05,/matches/2358416/falcons-vs-ence-iem-road-to-rio-2022-europe-rmr-b
1058,Cloud9,G2,16,13,2022-10-05,/matches/2358409/cloud9-vs-g2-iem-road-to-rio-2022-europe-rmr-a
1059,FURIA,Evil Geniuses,14,16,2022-10-05,/matches/2358357/furia-vs-evil-geniuses-iem-road-to-rio-2022-americas-rmr
1060,Ninjas in Pyjamas,Bad News Eagles,16,7,2022-10-05,/matches/2358410/ninjas-in-pyjamas-vs-bad-news-eagles-iem-road-to-rio-2022-europe-rmr-a
1061,FaZe,fnatic,19,17,2022-10-05,/matches/2358407/faze-vs-fnatic-iem-road-to-rio-2022-europe-rmr-a
1062,Sprout,Spirit,16,12,2022-10-05,/matches/2358408/sprout-vs-spirit-iem-road-to-rio-2022-europe-rmr-a
1063,Liquid,TeamOne,16,6,2022-10-05,/matches/2358351/liquid-vs-teamone-iem-road-to-rio-2022-americas-rmr
1064,MIBR,O PLANO,16,9,2022-10-05,/matches/2358354/mibr-vs-o-plano-iem-road-to-rio-2022-americas-rmr
1065,00NATION,9z,16,19,2022-10-05,/matches/2358356/00nation-vs-9z-iem-road-to-rio-2022-americas-rmr
1066,OG,Illuminar,16,5,2022-10-05,/matches/2358413/og-vs-illuminar-iem-road-to-rio-2022-europe-rmr-b
1067,Monte,SAW,16,3,2022-10-05,/matches/2358414/monte-vs-saw-iem-road-to-rio-2022-europe-rmr-b
1068,Complexity,ATK,16,5,2022-10-05,/matches/2358353/complexity-vs-atk-iem-road-to-rio-2022-americas-rmr
1069,HEET,K23,13,16,2022-10-05,/matches/2358411/heet-vs-k23-iem-road-to-rio-2022-europe-rmr-b
1070,FANTASY,Sangal,12,16,2022-10-05,/matches/2358412/fantasy-vs-sangal-iem-road-to-rio-2022-europe-rmr-b
1071,paiN,ARCTIC,16,13,2022-10-05,/matches/2358352/pain-vs-arctic-iem-road-to-rio-2022-americas-rmr
1072,Nouns,Evil Geniuses,7,16,2022-10-05,/matches/2358355/nouns-vs-evil-geniuses-iem-road-to-rio-2022-americas-rmr
1073,Warriors,Elemental,2,0,2022-10-05,/matches/2359374/warriors-vs-elemental-lpl-pro-league-season-11
1074,Astralis,Eternal Fire,16,9,2022-10-05,/matches/2358405/astralis-vs-eternal-fire-iem-road-to-rio-2022-europe-rmr-a
1075,Aurora,GamerLegion,10,16,2022-10-05,/matches/2358406/aurora-vs-gamerlegion-iem-road-to-rio-2022-europe-rmr-a
1076,Imperial,Isurus,16,2,2022-10-05,/matches/2358350/imperial-vs-isurus-iem-road-to-rio-2022-americas-rmr
1077,FURIA,Infinity,16,2,2022-10-05,/matches/2358349/furia-vs-infinity-iem-road-to-rio-2022-americas-rmr
1078,ECSTATIC,B8,16,19,2022-10-05,/matches/2358404/ecstatic-vs-b8-iem-road-to-rio-2022-europe-rmr-a
1079,forZe,1WIN,14,16,2022-10-05,/matches/2358403/forze-vs-1win-iem-road-to-rio-2022-europe-rmr-a
1080,CAMO,yellow,0,2,2022-10-05,/matches/2359373/camo-vs-yellow-lpl-pro-league-season-11
1081,Snakes Den,Villainous Union,0,2,2022-10-05,/matches/2359296/snakes-den-vs-villainous-union-esea-advanced-season-42-north-america
1082,Cloud9,FaZe,2,1,2022-09-29,/matches/2358329/cloud9-vs-faze-esl-pro-league-season-16
1083,The Union,Meta BR,2,0,2022-09-29,/matches/2359227/the-union-vs-meta-br-americas-supercup-2022
1084,BHOP,Take Flyte,1,0,2022-09-29,/matches/2359277/bhop-vs-take-flyte-cct-north-america-series-1
1085,Young Ninjas,EC Brugge,2,0,2022-09-29,/matches/2359279/young-ninjas-vs-ec-brugge-cct-north-europe-series-1-closed-qualifier
1086,Astralis Talent,PROSPECTS,0,2,2022-09-29,/matches/2359280/astralis-talent-vs-prospects-cct-north-europe-series-1-closed-qualifier
1087,Beyond Possible,KTRL,0,2,2022-09-29,/matches/2359284/beyond-possible-vs-ktrl-cct-south-europe-series-1-closed-qualifier
1088,9z,HONORIS,1,2,2022-09-29,/matches/2359209/9z-vs-honoris-cct-central-europe-series-2
1089,Zero Tenacity,EUMIX,2,0,2022-09-29,/matches/2359285/zero-tenacity-vs-eumix-cct-south-europe-series-1-closed-qualifier
1090,Anonymo,BLUEJAYS,0,2,2022-09-29,/matches/2359247/anonymo-vs-bluejays-iem-road-to-rio-2022-europe-rmr-replacement-play-in
1091,PACT,ex-SKADE,2,0,2022-09-29,/matches/2359259/pact-vs-ex-skade-esea-advanced-season-42-europe
1092,PALOMA,Aurora,2,1,2022-09-29,/matches/2359224/paloma-vs-aurora-esea-advanced-season-42-europe
1093,Sashi,Finest,0,1,2022-09-29,/matches/2359248/sashi-vs-finest-iem-road-to-rio-2022-europe-rmr-replacement-play-in
1094,Kyoto,EUMIX,0,2,2022-09-29,/matches/2359271/kyoto-vs-eumix-cct-south-europe-series-1-closed-qualifier
1095,MOUZ,Liquid,0,2,2022-09-29,/matches/2358330/mouz-vs-liquid-esl-pro-league-season-16
1096,Lilmix,PROSPECTS,0,2,2022-09-29,/matches/2359269/lilmix-vs-prospects-cct-north-europe-series-1-closed-qualifier
1097,CENTER,EC Brugge,0,2,2022-09-29,/matches/2359265/center-vs-ec-brugge-cct-north-europe-series-1-closed-qualifier
1098,KTRL,Never Surrender,2,0,2022-09-29,/matches/2359267/ktrl-vs-never-surrender-cct-south-europe-series-1-closed-qualifier
1099,forZe,los kogutos,2,1,2022-09-29,/matches/2359208/forze-vs-los-kogutos-cct-central-europe-series-2
1100,SINNERS,BLUEJAYS,2,0,2022-09-29,/matches/2359210/sinners-vs-bluejays-cct-central-europe-series-2
1101,ECSTATIC,SAW,0,2,2022-09-29,/matches/2359148/ecstatic-vs-saw-elisa-invitational-fall-2022
1102,Apeks,HOTU,0,1,2022-09-29,/matches/2359283/apeks-vs-hotu-esea-advanced-season-42-europe
1103,NeedDOCTOR,Zero Tenacity,2,0,2022-09-29,/matches/2359270/needdoctor-vs-zero-tenacity-cct-south-europe-series-1-closed-qualifier
1104,Rooster,Dynasty,2,0,2022-09-29,/matches/2359015/rooster-vs-dynasty-esl-australia-nz-championship-season-15
1105,BLUEJAYS,MASONIC,1,2,2022-09-29,/matches/2359147/bluejays-vs-masonic-elisa-invitational-fall-2022
1106,God's Work,Meat Grinders,2,1,2022-09-29,/matches/2359014/gods-work-vs-meat-grinders-esl-australia-nz-championship-season-15
1107,BHOP,Iron Blood,1,2,2022-09-29,/matches/2359233/bhop-vs-iron-blood-esl-challenger-league-season-42-north-america
1108,Infinity,Villainous Union,2,1,2022-09-29,/matches/2359273/infinity-vs-villainous-union-cct-north-america-series-1
1109,Strife,X13,2,0,2022-09-29,/matches/2359275/strife-vs-x13-cct-north-america-series-1
1110,Victorum,Task Force 141,2,1,2022-09-29,/matches/2359234/victorum-vs-task-force-141-esl-challenger-league-season-42-north-america
1111,EG Black,Kari,2,1,2022-09-29,/matches/2358568/eg-black-vs-kari-esl-challenger-league-season-42-north-america
1112,Mythic,Brazen,2,0,2022-09-29,/matches/2358284/mythic-vs-brazen-esl-challenger-league-season-42-north-america
1113,Daotsu,Corinthians Academy,2,0,2022-09-29,/matches/2359260/daotsu-vs-corinthians-academy-liga-gamers-club-2022-serie-a-september-cup
1114,Sojoga,DNA,2,0,2022-09-29,/matches/2359272/sojoga-vs-dna-cct-north-america-series-1
1115,Heroic,Natus Vincere,1,2,2022-09-29,/matches/2358327/heroic-vs-natus-vincere-esl-pro-league-season-16
